Content,Date,User
"Sí, también misóginos y arribistas.",30 ago.,@laishawilkins
No puedo entender como “hombres” que se presumen inteligentes y autónomos puedan ser tan sumisos y abyectos ante un “rey”. Pero me acuerdo del papel de los bufones y se me pasa ese sabor a caca en la boca cuando veo esto.,30 ago.,@serabenh
Comunista de ultra derecha,29 ago.,@MACNASRUDIN
"Gran presidente apoyo total a nuestro presidente, viva nuestro presidente 🇲🇽❤️💪🏻.",30 ago.,@ArmandoZermeno2
"Con la panzota que se carga ??? No mame , no es creíble que haga usted ejercicio.",31 ago.,@gerryboy10
"La transformación va!!!!!! Pero a chinga a su madre a la basura!!!! No es posible que se den preferencia de recursos a sus elefantes blancos y no a salud y otros sectores con prioridad y prefiera atolear a sus mascotas con la venta de sus cachitos, pinche mitómano!!!!",31 ago.,@Ricardo99899469
Porque no haces el ejercicio de ir a chingar a tu madre y dejas que resolvamos esto sin ti y las lacras de tu partido. Asesino.,31 ago.,@ajusta1978
Puro cromasables 😂😂😂😂...,30 ago.,@ernestolizarra5
"Los comentócratas e intelectuales orgánicos del viejo régimen se pusieron celosos; quieren su foto. 

A ellos les citaban en Los Pinos a escondidas 🙊",30 ago.,@CitlaHM
"ERES UN PERVERSO HIPOCRITA PSICOPATA

TE HAS DEDICADO A DESTRUIR AL PAÍS PARA SOJUZGARNOS MAS FACIL 

PERO LO PEOR ES LA MASACRE QUE ESTAS HACIENDO CON LOS MAS POBRES Y ENFERMOS

EN ESPECIAL ASESINAR NIÑOS INOCENTES QUE SUFREN CANCER 

SERAS JUZGADO POR GENOCIDA

@OficialFrenaaa",30 ago.,@Oscarsvm1
Mmm😠😠😠 tu cul@.. que enojada de escuchar tanta barbaríe,30 ago.,@empanadajodona
¿Y si en lugar de andar de guía de turistas aprovechas el tiempo y te vas al psiquiatra a ver que chingados puede hacer con tu locura? Te lo agradeceríamos mucho mucho.,30 ago.,@imongom
Pasaron por su chayote?,30 ago.,@ESilmarillion
"¡Ay mi Presidente, su carita, ya se ve cansado!  😢",31 ago.,@anavibibi
"Póngase a trabajar, viejo pndjo.",30 ago.,@mexicocontodos
"Andrés Manuel, nos vendría bien que ejercitaras la transparencia, la rendición de cuentas, la honestidad, la decencia, la honradez y la sensatez.",30 ago.,@aracelibs
Puro chingon!!,30 ago.,@rn_montesinos
Puro pendejo como tu,30 ago.,@LaMorenaLoca88
"Y tenemos al mejor Presidente.
#AMLOFortalezaDeMéxico",31 ago.,@FilipoOcadiz
"Mi presi es un gran ejemplo ♥️
lo respeto mucho ♥️",31 ago.,@EdiBAMLOver
"He aquí al que iba para las ligas Mayores para ser un Babe Ruth pero se chingó la rodilla, he aquí al que prometío ser un Estadista al nivel de Merkel pero por culpa de los neoliberales dice no poder resolver nada.",30 ago.,@HoracioLuki
"Que cinismo, en este sexenio como en ningún otro hay adjudicaciones directas, falta ver la que le dieron al compadre de Rocío Nahle.",30 ago.,@MariettoPonce
Mejor ve y plática con los padres de los niños con cáncer o con los familiares de los muertos por covid o por lo menos visita hospitales ahí te demostrarán lo poco inteligente que eres y te lo dirán con sentido del humor para que no te amargues,30 ago.,@DuranCuitlahuac
Perfecto. Entendido: Gracias por debidamente identificar a tus lambehuevos.,30 ago.,@mmsoriano
Que onda con su look de Fidel?,30 ago.,@jdanielgguar
"México es el TERCER lugar en muertes por covid en el Mundo, eso es bienestar?????
#AmloElFracasoPresidencial #COVIDー19 #",31 ago.,@pris_guayaba
El payaso de Palacio Nacional!,30 ago.,@MarcoValor10
